TEAM,YEAR,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST_RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
Milwaukee Bucks,2022,82,58,24,3966.0,114.3,110.9,3.4,60.4,1.76,18.1,28.4,74.5,52.1,14.3,55.5,58.3,101.45,52.3,"8,389"
Boston Celtics,2022,82,57,25,3996.0,117.3,110.6,6.7,63.2,2.00,19.1,25.5,74.6,50.6,13.3,56.6,60.0,99.15,53.4,"8,247"
Philadelphia 76ers,2022,82,54,28,3976.0,117.0,112.7,4.4,61.6,1.84,18.6,25.8,72.1,49.6,13.9,56.3,60.8,97.44,52.4,"8,072"
Denver Nuggets,2022,82,53,29,3951.0,116.8,113.5,3.3,66.3,1.99,20.5,28.9,72.7,51.4,14.7,57.3,60.1,98.74,52.5,"8,129"
Cleveland Cavaliers,2022,82,51,31,3976.0,115.5,109.9,5.6,60.0,1.87,18.6,27.3,71.5,49.6,13.7,55.6,59.0,96.27,53.1,"7,972"
Memphis Grizzlies,2022,82,51,31,3956.0,114.7,110.7,4.0,59.6,1.91,18.2,30.2,71.1,50.7,13.3,54.0,57.0,101.50,51.9,"8,360"
Sacramento Kings,2022,82,48,34,3966.0,118.6,116.0,2.6,62.6,2.02,19.3,26.5,73.1,49.9,13.3,57.2,60.8,100.99,51.1,"8,343"
New York Knicks,2022,82,47,35,3991.0,117.0,114.2,2.8,54.6,1.77,16.6,31.8,72.7,52.1,13.1,54.1,57.7,97.75,50.9,"8,134"
Brooklyn Nets,2022,82,45,37,3946.0,114.6,113.5,1.1,61.6,1.86,18.9,23.4,68.9,47.2,13.9,56.2,59.8,98.77,51.0,"8,111"
Phoenix Suns,2022,82,45,37,3956.0,114.5,112.3,2.2,64.7,2.01,19.3,30.7,71.4,50.8,13.6,53.5,57.0,98.83,51.4,"8,141"
Golden State Warriors,2022,82,44,38,3966.0,115.1,113.4,1.7,69.1,1.83,20.4,27.7,71.9,50.2,15.8,57.1,60.0,102.54,51.0,"8,472"
LA Clippers,2022,82,44,38,3966.0,114.0,113.6,0.5,58.1,1.68,17.5,27.3,73.1,50.5,14.3,55.1,58.8,98.84,49.8,"8,168"
Miami Heat,2022,82,44,38,3961.0,112.3,112.8,-0.5,60.8,1.77,17.8,27.4,73.3,49.8,13.8,53.0,57.4,96.76,49.6,"7,991"
Los Angeles Lakers,2022,82,43,39,3976.0,113.9,113.2,0.7,58.9,1.80,17.9,26.9,72.7,50.5,13.7,54.2,58.2,101.92,51.1,"8,436"
Minnesota Timberwolves,2022,82,42,40,3966.0,113.3,113.1,0.2,61.0,1.71,18.6,25.8,70.3,48.5,15.0,56.0,59.2,101.55,50.3,"8,383"
New Orleans Pelicans,2022,82,42,40,3971.0,113.8,112.0,1.9,61.6,1.77,18.5,29.0,73.2,51.2,14.5,54.3,58.2,99.58,51.4,"8,239"
Atlanta Hawks,2022,82,41,41,3971.0,115.5,115.4,0.1,56.0,1.93,17.6,28.9,71.7,50.0,12.6,54.1,57.9,101.56,50.0,"8,407"
Toronto Raptors,2022,82,41,41,3961.0,114.6,113.1,1.5,57.1,2.05,17.2,31.6,72.1,50.2,11.8,51.7,55.5,97.85,49.6,"8,076"
Chicago Bulls,2022,82,40,42,3981.0,112.8,111.5,1.3,57.5,1.83,18.1,23.6,73.6,49.3,13.3,55.0,58.7,99.18,51.2,"8,225"
Oklahoma City Thunder,2022,82,40,42,3971.0,114.2,113.2,1.0,56.7,1.87,17.2,28.9,69.3,48.7,12.7,53.1,57.0,101.94,49.8,"8,435"
Dallas Mavericks,2022,82,38,44,3986.0,115.9,116.1,-0.2,57.3,1.88,17.4,22.6,71.7,47.1,12.4,56.5,59.9,97.21,48.7,"8,082"
Utah Jazz,2022,82,37,45,3961.0,115.3,116.0,-0.7,61.1,1.69,18.2,30.8,71.1,51.2,15.1,54.7,58.4,101.02,49.8,"8,329"
Indiana Pacers,2022,82,35,47,3951.0,113.8,117.1,-3.3,64.3,1.81,18.9,28.5,68.5,48.2,14.6,54.5,58.1,101.68,48.2,"8,377"
Washington Wizards,2022,82,35,47,3951.0,113.7,114.9,-1.2,60.3,1.80,18.5,27.3,72.4,50.5,14.2,55.0,58.5,99.16,50.4,"8,161"
Orlando Magic,2022,82,34,48,3956.0,111.3,113.7,-2.3,57.4,1.54,17.0,28.1,73.0,50.5,15.1,53.2,57.3,99.66,48.5,"8,205"
Portland Trail Blazers,2022,82,33,49,3946.0,114.0,118.0,-4.0,59.7,1.67,17.8,26.4,70.9,48.6,14.5,54.9,58.9,99.25,47.4,"8,157"
Charlotte Hornets,2022,82,27,55,3966.0,108.4,114.7,-6.3,60.9,1.77,17.8,27.6,71.7,49.1,13.9,51.6,55.1,101.47,47.3,"8,390"
Houston Rockets,2022,82,22,60,3951.0,110.5,118.6,-8.1,55.1,1.38,16.0,34.4,72.9,53.0,16.2,51.6,55.4,99.74,45.7,"8,220"
San Antonio Spurs,2022,82,22,60,3971.0,109.7,119.6,-9.9,63.2,1.78,18.7,29.9,70.9,49.5,14.8,52.5,55.4,102.07,45.2,"8,451"
Detroit Pistons,2022,82,17,65,3961.0,109.9,117.8,-7.9,58.1,1.52,16.7,29.2,70.2,49.1,15.0,52.0,56.1,99.88,44.9,"8,231"
