,TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,AST%,AST/TO,AST_RATIO,DEFRTG,DREB%,EFG%,NETRTG,OFFRTG,OREB%,PACE,PIE,POSS,REB%,TOV%,TS%,W_RANK,L_RANK,OFFRTG_RANK,DEFRTG_RANK,NETRTG_RANK,AST%_RANK,AST/TO_RANK,AST_RATIO_RANK,OREB%_RANK,DREB%_RANK,REB%_RANK,TOV%_RANK,EFG%_RANK,TS%_RANK,PACE_RANK,PIE_RANK,WIN%_RANK,PTS_RANK,FGM_RANK,FGA_RANK,FG%_RANK,3PM_RANK,3PA_RANK,3P%_RANK,FTM_RANK,FTA_RANK,FT%_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,+/-_RANK
0,Golden State Warriors,2015,82,73,9,0.89,48.5,114.9,42.5,87.3,48.7,13.1,31.6,41.6,16.7,21.8,76.3,10.0,36.2,46.2,28.9,15.2,8.4,6.1,4.1,20.7,19.8,10.8,68.0,1.91,20.4,102.8,72.0,56.3,10.6,113.5,26.7,100.24,56.7,"8,303",50.7,15.0,59.3,1,30,1,25,2,1,1,1,22,15,11,13,1,1,2,2,1,1,1,3,1,1,1,1,22,23,16,20,1,4,1,6,9,2,27,11,19,1
1,San Antonio Spurs,2015,82,67,15,0.817,48.1,103.5,40.1,82.9,48.4,7.0,18.5,37.5,16.4,20.4,80.3,9.4,34.5,43.9,24.5,13.1,8.3,5.9,3.9,17.5,19.5,10.6,61.1,1.88,18.8,98.2,74.6,52.6,11.1,109.3,26.6,94.54,57.8,"7,767",51.6,13.8,56.4,2,29,4,30,1,7,2,3,23,4,6,25,2,3,24,1,2,10,3,24,2,25,25,2,25,28,2,25,5,14,3,26,10,4,29,30,21,2
2,Cleveland Cavaliers,2015,82,57,25,0.695,48.4,104.3,38.7,84.0,46.0,10.7,29.6,36.2,16.3,21.7,74.8,10.6,33.9,44.5,22.7,13.6,6.7,3.9,4.4,20.3,20.6,6.0,58.7,1.67,17.4,103.9,74.2,52.4,6.3,110.2,29.4,93.82,52.8,"7,764",51.9,14.3,55.8,3,28,3,21,4,16,9,9,9,5,4,18,3,4,28,5,3,8,8,19,9,2,3,7,26,24,21,12,8,9,13,21,27,26,23,17,12,4
3,Toronto Raptors,2015,82,56,26,0.683,48.2,102.7,36.7,81.3,45.1,8.6,23.4,37.0,20.8,26.7,77.7,10.2,33.2,43.4,18.7,13.1,7.8,5.5,5.4,19.6,22.0,4.5,51.1,1.43,14.9,104.8,73.6,50.4,4.4,109.3,30.0,93.35,52.5,"7,707",52.0,13.9,55.2,4,27,5,19,6,30,24,28,5,7,3,24,12,7,29,7,4,13,27,28,15,13,19,4,2,3,12,19,18,16,29,27,15,11,11,22,3,5
4,Oklahoma City Thunder,2015,82,55,27,0.671,48.4,110.2,41.1,86.4,47.6,8.3,23.7,34.9,19.7,25.2,78.2,13.1,35.6,48.6,23.0,15.9,7.4,5.9,4.5,20.6,20.2,7.3,55.8,1.44,16.7,104.8,72.0,52.4,7.4,112.1,34.7,97.54,54.6,"8,061",54.1,16.2,56.5,5,26,2,20,3,21,22,17,1,16,1,3,4,2,10,3,5,2,2,5,3,17,17,17,4,7,10,1,2,1,10,4,20,5,20,15,15,3
5,LA Clippers,2015,82,53,29,0.646,48.4,104.5,38.3,82.4,46.5,9.7,26.7,36.4,18.2,26.2,69.2,8.8,33.3,42.0,22.8,13.0,8.6,5.6,3.2,21.3,22.5,4.3,59.6,1.76,17.4,102.7,69.7,52.4,4.5,107.2,23.4,96.81,53.3,"7,995",47.2,13.3,55.6,6,25,8,26,5,10,3,10,29,27,29,28,5,5,13,4,6,7,15,25,6,8,9,6,11,4,29,29,15,25,11,28,7,10,30,7,1,6
6,Atlanta Hawks,2015,82,48,34,0.585,48.4,102.8,38.6,84.4,45.8,9.9,28.4,35.0,15.6,20.0,78.3,8.3,33.8,42.1,25.6,15.0,9.1,5.9,5.0,19.1,18.3,3.6,66.3,1.71,19.0,100.8,69.8,51.6,3.9,104.6,23.4,97.63,52.8,"8,059",47.4,15.2,55.2,7,21,20,29,7,2,7,2,30,26,28,10,6,8,9,6,7,12,9,15,11,6,7,15,29,30,8,30,13,24,2,8,3,6,17,24,29,7
7,Boston Celtics,2015,82,48,34,0.585,48.2,105.7,39.2,89.2,43.9,8.7,26.1,33.5,18.5,23.5,78.8,11.6,33.3,44.9,24.2,13.7,9.2,4.2,5.5,21.9,21.0,3.2,61.6,1.76,17.4,102.5,70.7,48.8,3.3,105.8,29.0,99.43,52.0,"8,191",49.5,13.8,53.1,8,22,10,27,8,5,4,11,11,24,16,26,24,21,3,9,8,5,7,1,24,12,11,28,8,12,6,3,16,6,6,19,2,22,7,2,10,8
8,Charlotte Hornets,2015,82,48,34,0.585,48.4,103.4,37.0,84.4,43.9,10.6,29.4,36.2,18.7,23.7,79.0,9.0,35.0,43.9,21.7,12.5,7.3,5.3,5.5,18.1,20.4,2.7,58.6,1.73,16.7,103.7,75.4,50.2,2.7,106.4,24.4,96.24,51.1,"7,966",49.9,12.9,54.5,9,23,9,22,9,17,5,18,27,1,15,30,13,12,18,11,9,11,24,16,25,4,4,8,7,11,5,28,4,15,19,30,22,12,8,28,13,9
9,Miami Heat,2015,82,48,34,0.585,48.4,100.0,38.4,81.7,47.0,6.1,18.0,33.6,17.1,23.0,74.4,9.8,34.3,44.1,20.8,14.1,6.7,6.5,4.1,18.3,19.6,1.6,54.3,1.48,16.3,103.7,72.9,50.8,1.7,105.5,28.0,94.14,52.5,"7,779",51.2,14.8,54.5,10,24,11,23,11,26,20,20,15,11,8,15,11,13,25,8,10,23,13,27,4,27,28,27,18,14,23,22,6,13,23,16,28,1,28,27,20,12
