,TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,AST%,AST/TO,AST_RATIO,DEFRTG,DREB%,EFG%,NETRTG,OFFRTG,OREB%,PACE,PIE,POSS,REB%,TOV%,TS%,W_RANK,L_RANK,OFFRTG_RANK,DEFRTG_RANK,NETRTG_RANK,AST%_RANK,AST/TO_RANK,AST_RATIO_RANK,OREB%_RANK,DREB%_RANK,REB%_RANK,TOV%_RANK,EFG%_RANK,TS%_RANK,PACE_RANK,PIE_RANK,WIN%_RANK,PTS_RANK,FGM_RANK,FGA_RANK,FG%_RANK,3PM_RANK,3PA_RANK,3P%_RANK,FTM_RANK,FTA_RANK,FT%_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,+/-_RANK
0,San Antonio Spurs,1998,50,37,13,0.74,48.3,92.8,34.8,76.2,45.6,3.4,10.4,33.0,19.8,28.3,69.8,12.3,31.7,44.0,22.0,15.2,8.4,7.0,4.9,20.2,0.1,8.1,63.3,1.45,17.4,93.6,67.4,47.9,9.1,102.7,32.9,89.88,58.2,"4,517",51.2,16.8,52.3,1,28,10,29,1,7,5,6,13,14,9,17,11,10,20,2,1,13,12,21,5,24,25,18,11,5,24,16,1,4,6,18,15,1,13,26,11,1
1,Utah Jazz,1998,50,37,13,0.74,48.7,93.3,33.7,72.4,46.5,2.8,7.8,36.1,23.2,30.2,76.7,11.1,30.2,41.3,24.1,16.3,8.0,5.5,5.3,22.7,0.1,6.5,71.5,1.48,19.0,96.7,67.7,48.5,7.4,104.2,32.9,88.37,59.1,"4,480",51.6,18.2,54.5,2,29,3,23,2,1,4,2,14,12,5,2,6,1,23,1,2,9,17,27,2,27,28,8,1,1,3,24,6,16,3,5,19,7,8,14,12,2
2,Portland Trail Blazers,1998,50,35,15,0.7,48.7,94.8,34.9,79.1,44.2,4.9,13.5,36.4,20.0,27.0,74.3,12.9,31.4,44.3,21.5,15.4,8.2,5.8,4.9,22.5,0.2,6.4,61.4,1.39,16.6,96.2,68.7,47.3,6.6,102.8,34.5,90.81,55.6,"4,613",51.9,16.7,52.1,3,27,9,25,3,12,10,13,7,4,3,18,13,11,13,4,3,5,11,12,13,11,13,7,10,10,9,13,3,3,10,15,18,4,14,16,1,3
3,Indiana Pacers,1998,50,33,17,0.66,48.4,94.7,34.6,77.3,44.8,5.9,16.0,36.8,19.5,24.6,79.6,11.5,29.0,40.5,20.1,13.0,6.3,4.5,4.8,21.6,0.2,3.7,58.1,1.55,16.4,102.2,67.1,48.6,4.3,106.6,31.0,88.16,52.6,"4,442",49.5,14.6,53.7,4,24,1,7,5,23,3,15,22,19,16,28,5,5,25,7,4,6,13,17,9,4,6,3,12,18,1,21,14,19,21,28,29,19,18,20,2,5
4,Miami Heat,1998,50,33,17,0.66,48.1,89.0,32.3,71.3,45.3,5.8,16.1,35.9,18.6,25.2,73.5,10.1,30.2,40.3,20.4,14.9,6.5,6.1,3.8,20.7,0.1,5.0,63.1,1.37,17.1,97.1,68.3,49.4,5.8,102.9,29.9,86.35,56.0,"4,325",50.3,17.2,54.0,5,25,7,22,4,9,13,7,26,7,12,12,3,3,29,3,5,23,25,28,6,5,5,10,15,15,12,27,7,20,18,21,28,3,29,23,13,4
5,Orlando Magic,1998,50,33,17,0.66,48.2,89.5,33.7,78.9,42.8,4.5,13.5,33.0,17.5,25.0,70.0,13.8,28.9,42.7,21.3,16.4,9.9,4.3,4.8,18.7,0.1,2.6,63.2,1.3,16.6,96.3,68.5,45.6,2.6,98.9,36.0,89.93,51.9,"4,521",51.8,18.1,49.8,6,26,19,24,9,8,20,14,2,5,4,3,20,21,19,10,6,22,18,13,19,14,14,19,22,16,23,7,15,11,12,3,2,21,19,29,14,9
6,Atlanta Hawks,1998,50,31,19,0.62,48.3,86.3,30.8,75.2,40.9,3.9,12.9,30.6,20.8,28.4,73.1,13.5,30.0,43.5,15.6,14.9,6.9,5.2,4.9,19.7,0.2,2.9,50.7,1.05,13.0,95.3,70.1,43.6,3.1,98.4,35.3,87.1,52.5,"4,387",52.7,17.0,49.2,7,21,21,28,8,28,28,29,5,1,1,15,26,25,28,8,7,28,28,23,27,20,17,25,3,4,15,9,9,5,29,22,27,12,15,27,3,8
7,Houston Rockets,1998,50,31,19,0.62,48.3,94.2,35.1,76.0,46.2,6.7,18.3,36.8,17.3,23.7,72.9,10.7,30.8,41.5,21.2,16.2,7.7,5.2,4.9,19.2,0.1,2.3,60.3,1.3,16.9,101.0,67.8,50.6,2.5,103.5,31.2,90.45,52.3,"4,551",50.6,17.8,54.5,8,22,5,15,10,14,21,8,20,10,10,7,1,2,17,9,8,7,7,22,3,1,3,4,23,24,16,26,5,15,14,6,24,13,16,28,15,10
8,Los Angeles Lakers,1998,50,31,19,0.62,48.2,99.0,36.8,78.7,46.8,4.8,13.7,35.2,20.5,30.1,68.3,12.3,29.6,42.0,21.9,15.1,7.8,5.7,3.9,24.6,0.1,3.0,59.5,1.45,16.9,102.8,67.1,49.8,3.3,106.1,32.3,92.95,52.7,"4,666",50.0,16.2,53.8,9,23,2,6,7,18,6,9,17,20,14,21,2,4,4,6,9,2,2,15,1,12,10,12,5,2,26,17,11,13,7,19,23,6,27,2,16,7
9,Detroit Pistons,1998,50,29,21,0.58,48.2,90.4,33.2,74.3,44.7,5.0,13.6,36.5,19.0,25.7,74.0,12.1,28.2,40.3,20.2,15.8,8.9,4.2,4.5,22.8,0.1,3.4,60.8,1.28,16.4,98.4,69.7,48.0,4.0,102.4,33.1,87.93,51.5,"4,411",51.4,17.9,52.8,10,20,11,21,6,13,23,16,11,2,8,5,10,8,26,12,10,19,21,25,10,10,11,5,14,14,11,18,21,21,20,12,6,22,21,10,17,6
10,Milwaukee Bucks,1998,50,28,22,0.56,48.2,91.7,35.1,76.4,45.9,4.6,12.4,37.3,16.9,23.1,73.3,11.4,27.4,38.8,20.6,14.4,8.8,4.0,3.9,22.8,0.2,1.7,58.8,1.43,16.8,101.2,64.8,48.9,1.8,102.9,31.2,88.64,51.2,"4,453",48.4,16.1,53.0,11,18,8,13,13,21,8,10,21,27,24,22,4,7,22,14,11,14,8,20,4,13,18,1,25,27,13,23,26,28,17,25,10,24,28,11,4,13
11,Philadelphia 76ers,1998,50,28,22,0.56,48.6,89.7,33.1,77.7,42.6,2.0,7.4,26.4,21.5,29.7,72.2,14.6,28.6,43.1,18.7,16.4,10.8,5.4,5.3,23.0,0.1,2.1,56.4,1.14,14.7,95.5,67.9,43.9,2.4,97.8,35.6,90.56,51.8,"4,582",51.5,17.9,49.4,12,19,24,27,11,25,26,25,4,9,6,6,24,24,16,11,12,21,23,16,22,29,29,29,2,3,18,3,18,7,25,4,1,10,9,7,18,12
